Duplicate File Name,Folders Found In,,
523413844.pdf,SoFAIR_AD_Energy_Sciences_papers,SoFAIR_AD_Chemistry_papers,
481050527.pdf,SoFAIR_AD_Energy_Sciences_papers,SoFAIR_AD_Chemistry_papers,
275696026.pdf,SoFAIR_AD_Energy_Sciences_papers,SoFAIR_AD_Chemistry_papers,
573436023.pdf,SoFAIR_AD_Energy_Sciences_papers,SoFAIR_AD_Chemistry_papers,
326332696.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BioChem_papers,
286270281.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BMA_papers,
395093194.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Comp_Sci_papers,
343446413.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
573427732.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BMA_papers,
565356476.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BMA_papers,
475388136.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Energy_Sciences_papers,
491225767.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BioChem_papers,
429836293.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BMA_papers,
427147155.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BMA_papers,
356660829.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Comp_Sci_papers,
373002083.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BMA_papers,
287601605.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
334597306.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Comp_Sci_papers,
529521866.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Comp_Sci_papers,
232531597.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BMA_papers,
359925123.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Energy_Sciences_papers,
328801873.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BioChem_papers,
334412044.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BMA_papers,
566849515.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Comp_Sci_papers,
390050993.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Comp_Sci_papers,
588384832.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Energy_Sciences_papers,
475651831.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BMA_papers,
334422333.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BMA_papers,
572216376.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BioChem_papers,
572218366.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BioChem_papers,
560690057.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BMA_papers,
293754931.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Comp_Sci_papers,
543220469.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Comp_Sci_papers,
159068742.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BMA_papers,
490213371.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BMA_papers,
535100951.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BioChem_papers,
561978835.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Comp_Sci_papers,
479373239.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_BMA_papers,
374201262.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Comp_Sci_papers,
363147442.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Energy_Sciences_papers,
334815056.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Comp_Sci_papers,
479481838.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Comp_Sci_papers,
479746477.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Comp_Sci_papers,
587330504.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Comp_Sci_papers,
547503462.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Comp_Sci_papers,
511317666.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Energy_Sciences_papers,
553762193.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Energy_Sciences_papers,
370796185.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Earth_Planet_Sciences_papers,
362233235.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Comp_Sci_papers,
528168742.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Energy_Sciences_papers,
293755048.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Comp_Sci_papers,
288346877.pdf,SoFAIR_AD_Engineering_papers,SoFAIR_AD_Comp_Sci_papers,
